"serial","father","child","depth","access"
"url_0","child input","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","0","True"
"url_1","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/w/rest.php/v1/search","1","True"
"url_2","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://creativecommons.org/licenses/by-sa/4.0/deed.en","1","True"
"url_3","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Main_Page","1","True"
"url_4","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://tr.wikipedia.org/wiki/Spider-Man_Brand_New_Day","1","True"
"url_5","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Destin_Daniel_Cretton","1","True"
"url_6","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Erik_Sommers","1","True"
"url_7","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Spider-Man","1","True"
"url_8","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Stan_Lee","1","True"
"url_9","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Steve_Ditko","1","True"
"url_10","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Kevin_Feige","1","True"
"url_11","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Amy_Pascal","1","True"
"url_12","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Avi_Arad","1","True"
"url_13","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Tom_Holland","1","True"
"url_14","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Zendaya","1","True"
"url_15","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Sadie_Sink","1","True"
"url_16","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Jacob_Batalon","1","True"
"url_17","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Jon_Bernthal","1","True"
"url_18","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Florence_Pugh","1","True"
"url_19","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Tramell_Tillman","1","True"
"url_20","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Marisa_Tomei","1","True"
"url_21","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Mark_Ruffalo","1","True"
"url_22","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Brett_Pawlak","1","True"
"url_23","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Nat_Sanders","1","True"
"url_24","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Harry_Yoon","1","True"
"url_25","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Michael_Giacchino","1","True"
"url_26","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Columbia_Pictures","1","True"
"url_27","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Marvel_Studios","1","True"
"url_28","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Pascal_Pictures","1","True"
"url_29","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Sony_Pictures_Releasing","1","True"
"url_30","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Dolby_Theatre","1","True"
"url_31","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Superhero_film","1","True"
"url_32","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Marvel_Comics","1","True"
"url_33","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/List_of_Marvel_Cinematic_Universe_films","1","True"
"url_34","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Marvel_Cinematic_Universe","1","True"
"url_35","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Telepath","1","True"
"url_36","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Justin_Kuritzkes","1","True"
"url_37","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Glasgow","1","True"
"url_38","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Pinewood_Studios","1","True"
"url_39","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Spider-Man_in_film","1","True"
"url_40","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/2026_in_film","1","True"
